fecha,n_outliers,horas,horas_consecutivas_max,tipo_evento,tipo_error_principal,tipos_error_dict
2024-02-17,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-02-23,1,[np.int32(12)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-02-25,1,[np.int32(12)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-02-26,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-02,2,"[np.int32(10), np.int32(11)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-03-03,1,[np.int32(9)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-10,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-11,1,[np.int32(8)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-15,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-20,2,"[np.int32(21), np.int32(22)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-03-24,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-25,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-26,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-27,2,"[np.int32(1), np.int32(6)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2024-03-28,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-03-29,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-04-04,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-04-08,3,"[np.int32(7), np.int32(21), np.int32(22)]",2,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2024-04-16,3,"[np.int32(0), np.int32(1), np.int32(11)]",2,Mixto (continuo + discontinuo),Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 2, 'Demanda Negativa': 1}"
2024-04-17,1,[np.int32(20)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-04-19,2,"[np.int32(13), np.int32(14)]",2,Continuo,Delta Volumen Extremo,"{'Delta Volumen Extremo': 1, 'Demanda Negativa': 1}"
2024-04-25,1,[np.int32(23)],0,Aislado,Delta Volumen Extremo,{'Delta Volumen Extremo': 1}
2024-04-26,1,[np.int32(0)],0,Aislado,Delta Volumen Extremo,{'Delta Volumen Extremo': 1}
2024-04-27,1,[np.int32(10)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-04-30,2,"[np.int32(12), np.int32(14)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-05-01,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-09,2,"[np.int32(9), np.int32(11)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-05-10,1,[np.int32(0)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-11,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-12,3,"[np.int32(1), np.int32(5), np.int32(22)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 3}
2024-05-15,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-17,2,"[np.int32(5), np.int32(6)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-05-18,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-23,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-24,2,"[np.int32(3), np.int32(5)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2024-05-25,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-05-29,2,"[np.int32(15), np.int32(16)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
